Région,Département,"COM ARRT/VILLE",COMMUNE,QUARTIERS/VILLAGES,QUARTIER/VILLAGE/HAMEAU,CONCESSION,MENAGE,HOMMES,FEMMES,POPULATION
DIOURBEL,BAMBEY,"COM. BAMBEY","COM. BAMBEY",,,,,17792,19582,37374
DIOURBEL,BAMBEY,"AR. BABA GARAGE","BABA GARAGE",,,,,9199,9106,18305
DIOURBEL,BAMBEY,"AR. BABA GARAGE",DINGUIRAYE,,,,,6222,5659,11881
DIOURBEL,BAMBEY,"AR. BABA GARAGE","KEUR SAMBA KANE",,,,,10336,10700,21036
DIOURBEL,BAMBEY,"AR. LAMBAYE",GAWANE,,,,,10317,9590,19907
DIOURBEL,BAMBEY,"AR. LAMBAYE",LAMBAYE,,,,,13731,16755,30486
DIOURBEL,BAMBEY,"AR. LAMBAYE",N’GOGOM,,,,,20151,20797,40948
DIOURBEL,BAMBEY,"AR. LAMBAYE",REFANE,,,,,19871,20084,39955
DIOURBEL,BAMBEY,"AR. N’GOYE",DANGALMA,,,,,21822,22576,44398
DIOURBEL,BAMBEY,"AR. N’GOYE",N’DONDOL,,,,,12189,13654,25843
DIOURBEL,BAMBEY,"AR. N’GOYE",N’GOYE,,,,,26184,28054,54238
DIOURBEL,BAMBEY,"AR. N’GOYE",THIAKAR,,,,,16386,15710,32096
