"taux-de-mortalité,""Unit"",""Date"",""Value"""
"Taux de Mortalité (TBM) pour 1000 habitants,""%"",""2013"",""8.2"""
"Taux de Mortalité (TBM) pour 1000 habitants,""%"",""2014"",""7.9"""
"Taux de Mortalité (TBM) pour 1000 habitants,""%"",""2015"",""7.7"""
"Taux de Mortalité (TBM) pour 1000 habitants,""%"",""2016"",""7.5"""
"Taux de Mortalité (TBM) pour 1000 habitants,""%"",""2017"",""7.3"""
"Taux de Mortalité (TBM) pour 1000 habitants,""%"",""2018"",""7.1"""
"Taux de Mortalité (TBM) pour 1000 habitants,""%"",""2019"",""6.8"""
"Taux de Mortalité (TBM) pour 1000 habitants,""%"",""2020"",""6.6"""
"Taux de Mortalité (TBM) pour 1000 habitants,""%"",""2021"",""6.4"""
"Taux de Mortalité (TBM) pour 1000 habitants,""%"",""2022"",""6.2"""
"Taux de Mortalité (TBM) pour 1000 habitants,""%"",""2023"",""6.1"""
